epoch,video,frames,ap50,recall,zero_det_frames
1,data6,399,43.94,88.72,0
1,data11,745,13.97,86.98,0
1,data12,1500,61.06,96.20,0
1,data15,751,35.18,100.00,0
1,data18,500,68.42,99.20,0
1,data20,400,61.83,86.75,0
1,data21,500,0.00,1.00,0
2,data6,399,65.03,90.73,0
2,data11,745,42.31,93.96,0
2,data12,1500,80.70,95.93,2
2,data15,751,57.59,98.27,0
2,data18,500,44.21,93.80,0
2,data20,400,75.88,88.25,0
2,data21,500,1.26,27.60,0
3,data6,399,68.83,89.22,0
3,data11,745,66.41,94.09,0
3,data12,1500,90.75,99.87,0
3,data15,751,70.13,99.73,0
3,data18,500,72.36,99.80,0
3,data20,400,86.24,89.75,0
3,data21,500,3.15,54.00,0
4,data6,399,67.96,86.47,0
4,data11,745,64.83,92.89,0
4,data12,1500,92.23,96.60,0
4,data15,751,72.86,99.73,0
4,data18,500,62.86,97.20,0
4,data20,400,87.41,89.50,3
4,data21,500,15.87,72.40,0
5,data6,399,55.80,78.95,0
5,data11,745,43.26,87.11,0
5,data12,1500,96.66,99.20,0
5,data15,751,67.19,99.07,0
5,data18,500,87.29,99.80,0
5,data20,400,89.64,91.00,0
5,data21,500,21.50,74.00,0
6,data6,399,71.27,80.20,0
6,data11,745,80.36,89.53,0
6,data12,1500,98.78,99.87,0
6,data15,751,79.23,99.87,0
6,data18,500,85.96,99.40,3
6,data20,400,89.43,90.25,0
6,data21,500,2.56,29.60,0
7,data6,399,72.07,89.22,0
7,data11,745,72.65,94.09,0
7,data12,1500,96.69,99.73,0
7,data15,751,68.10,98.93,2
7,data18,500,95.95,100.00,0
7,data20,400,87.64,88.00,11
7,data21,500,13.56,28.20,64
8,data6,399,80.59,87.47,0
8,data11,745,89.13,93.15,0
8,data12,1500,99.79,100.00,0
8,data15,751,59.82,96.94,0
8,data18,500,88.57,99.00,2
8,data20,400,87.98,88.75,16
8,data21,500,10.61,44.40,0
9,data6,399,89.09,96.99,0
9,data11,745,93.10,98.39,0
9,data12,1500,99.95,100.00,0
9,data15,751,66.35,98.54,1
