epoch,video,frames,ap50,recall,zero_det_frames
1,data6,399,88.72,93.73,25
1,data11,745,94.41,96.24,27
1,data12,1500,99.83,100.00,0
1,data15,751,28.98,65.25,112
1,data18,500,87.11,95.00,17
1,data20,400,87.00,88.00,23
1,data21,500,21.97,57.00,2
2,data6,399,90.69,93.23,17
2,data11,745,94.06,95.57,23
2,data12,1500,99.99,100.00,0
2,data15,751,37.71,89.88,7
2,data18,500,91.27,96.40,11
2,data20,400,87.41,88.00,27
2,data21,500,49.83,68.40,55
3,data6,399,88.83,89.97,12
3,data11,745,92.48,93.69,12
3,data12,1500,99.98,100.00,0
3,data15,751,20.27,58.19,138
3,data18,500,94.70,97.00,6
3,data20,400,87.84,88.75,19
3,data21,500,75.98,84.20,48
4,data6,399,90.26,92.48,0
4,data11,745,94.49,95.84,0
4,data12,1500,99.01,99.93,1
4,data15,751,41.01,79.76,8
4,data18,500,94.08,100.00,0
4,data20,400,88.07,89.25,16
4,data21,500,56.42,80.00,1
5,data6,399,92.47,93.48,23
5,data11,745,95.53,96.38,23
5,data12,1500,100.00,100.00,0
5,data15,751,59.45,92.01,15
5,data18,500,98.04,99.80,0
5,data20,400,90.41,91.75,5
5,data21,500,40.19,76.80,0
6,data6,399,87.10,88.72,32
6,data11,745,92.76,93.96,32
6,data12,1500,100.00,100.00,0
6,data15,751,40.46,77.50,81
6,data18,500,98.00,99.40,3
6,data20,400,90.57,91.25,11
6,data21,500,51.03,73.80,1
7,data6,399,89.53,90.48,34
7,data11,745,93.93,94.90,34
7,data12,1500,100.00,100.00,0
7,data15,751,15.61,46.21,126
7,data18,500,92.33,95.80,11
7,data20,400,91.35,92.25,7
7,data21,500,69.06,79.60,4
8,data6,399,93.69,94.99,16
8,data11,745,96.74,97.45,16
8,data12,1500,100.00,100.00,0
8,data15,751,20.71,57.66,78
8,data18,500,96.54,98.80,4
8,data20,400,91.65,92.50,3
8,data21,500,67.93,78.80,26
9,data6,399,93.10,94.49,17
9,data11,745,96.37,97.05,17
9,data12,1500,100.00,100.00,0
9,data15,751,20.52,57.52,70
9,data18,500,95.95,98.80,5
9,data20,400,92.20,93.00,3
9,data21,500,71.96,80.00,26
10,data6,399,91.77,93.73,20
10,data11,745,95.68,96.64,20
10,data12,1500,100.00,100.00,0
10,data15,751,20.99,57.92,72
10,data18,500,96.14,98.80,5
10,data20,400,92.40,93.75,2
10,data21,500,64.96,76.20,13
11,data6,399,91.41,93.48,21
11,data11,745,95.59,96.64,21
11,data12,1500,100.00,100.00,0
11,data15,751,17.93,53.66,83
11,data18,500,96.46,98.80,5
11,data20,400,92.40,93.50,5
11,data21,500,65.11,77.40,9
12,data6,399,91.35,93.23,19
12,data11,745,95.52,96.38,19
12,data12,1500,100.00,100.00,0
12,data15,751,18.62,52.20,97
12,data18,500,96.33,98.60,5
12,data20,400,92.39,93.25,7
12,data21,500,64.51,76.60,12
13,data6,399,91.25,93.23,25
13,data11,745,95.51,96.38,25
13,data12,1500,100.00,100.00,0
13,data15,751,18.97,51.40,117
13,data18,500,96.10,98.20,8
13,data20,400,92.20,93.25,10
13,data21,500,57.61,70.40,12
14,data6,399,92.61,94.99,13
14,data11,745,96.57,97.32,13
14,data12,1500,100.00,100.00,0
14,data15,751,18.75,50.47,126
14,data18,500,94.61,97.60,10
14,data20,400,91.47,92.75,12
