epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,650.884,0.87691,2.8637,2.8726,0.34522,0.2938,0.20061,0.05276,0.63253,1.96484,2.45606,3.32384e-05,3.32384e-05,0.0667949
2,1152.02,0.60503,1.76633,2.39756,0.44174,0.42069,0.33479,0.10348,0.47413,1.78475,2.21078,6.62422e-05,6.62422e-05,0.0334945
3,1651.72,0.47508,1.66565,2.14978,0.49009,0.507,0.43678,0.13631,0.42014,1.61484,2.07807,9.8916e-05,9.8916e-05,0.000193883
4,2151.1,0.41703,1.45568,2.00736,0.55917,0.53764,0.50088,0.15146,0.3967,1.52317,2.01032,9.8515e-05,9.8515e-05,9.8515e-05
5,2650.6,0.38301,1.37828,1.91025,0.65565,0.59619,0.58564,0.19925,0.36047,1.44105,1.89293,9.802e-05,9.802e-05,9.802e-05
6,3149.67,0.35564,1.30255,1.81411,0.67905,0.63491,0.63287,0.21967,0.33344,1.38908,1.79784,9.7525e-05,9.7525e-05,9.7525e-05
7,3649.1,0.33487,1.27326,1.73938,0.64205,0.64424,0.62641,0.21316,0.32725,1.43445,1.76126,9.703e-05,9.703e-05,9.703e-05
8,4177.6,0.30383,1.17266,1.63411,0.70515,0.66156,0.67575,0.23643,0.31709,1.32365,1.69919,9.6535e-05,9.6535e-05,9.6535e-05
9,4920.02,0.30005,1.1572,1.60511,0.68182,0.62531,0.63656,0.21929,0.3094,1.37483,1.68174,9.604e-05,9.604e-05,9.604e-05
10,5664.98,0.28399,1.16504,1.5445,0.70301,0.66156,0.66976,0.24305,0.30293,1.35054,1.63027,9.5545e-05,9.5545e-05,9.5545e-05
11,6408.77,0.27883,1.1219,1.52096,0.71526,0.69953,0.69396,0.25439,0.29635,1.30415,1.60064,9.505e-05,9.505e-05,9.505e-05
12,7157.75,0.27541,1.09508,1.50944,0.73276,0.71019,0.71476,0.27626,0.28499,1.25951,1.55146,9.4555e-05,9.4555e-05,9.4555e-05
13,7905.32,0.26336,1.10452,1.46377,0.71767,0.68926,0.69315,0.23886,0.30874,1.28435,1.63424,9.406e-05,9.406e-05,9.406e-05
14,8652.66,0.25214,1.0473,1.42631,0.71301,0.70346,0.689,0.23837,0.30214,1.30498,1.60907,9.3565e-05,9.3565e-05,9.3565e-05
15,9401.2,0.26377,1.05361,1.46154,0.68239,0.68563,0.6594,0.22853,0.30114,1.32018,1.61426,9.307e-05,9.307e-05,9.307e-05
16,10145.3,0.24485,1.02417,1.40015,0.71646,0.68854,0.67546,0.24814,0.29092,1.30447,1.56349,9.2575e-05,9.2575e-05,9.2575e-05
17,10894.3,0.23809,1.038,1.37706,0.69454,0.66489,0.6567,0.22599,0.30109,1.31795,1.60316,9.208e-05,9.208e-05,9.208e-05
18,11640.1,0.24044,1.01212,1.37882,0.73869,0.7006,0.70348,0.25646,0.29299,1.24158,1.57031,9.1585e-05,9.1585e-05,9.1585e-05
19,12389.2,0.24104,1.00113,1.37923,0.67606,0.65071,0.61634,0.20267,0.31873,1.31838,1.67361,9.109e-05,9.109e-05,9.109e-05
20,13135,0.23528,0.98962,1.36313,0.70322,0.64957,0.6437,0.21676,0.30922,1.32858,1.63475,9.0595e-05,9.0595e-05,9.0595e-05
21,13883.2,0.22647,0.98959,1.32938,0.71314,0.69729,0.69438,0.25816,0.28757,1.2791,1.54453,9.01e-05,9.01e-05,9.01e-05
22,14625.8,0.23134,0.99376,1.34145,0.67152,0.66055,0.62853,0.20908,0.30682,1.32235,1.62768,8.9605e-05,8.9605e-05,8.9605e-05
23,15369.4,0.23352,0.9928,1.34029,0.73543,0.72618,0.70112,0.26291,0.28555,1.25827,1.52435,8.911e-05,8.911e-05,8.911e-05
24,16115.2,0.22062,0.97909,1.31126,0.70078,0.69278,0.6751,0.24009,0.29814,1.2581,1.59457,8.8615e-05,8.8615e-05,8.8615e-05
25,16862.9,0.21832,0.9484,1.30257,0.6614,0.67688,0.62851,0.22781,0.2958,1.32257,1.57448,8.812e-05,8.812e-05,8.812e-05
