epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13501.7,0.12619,1.52938,1.00649,0.543,0.7858,0.61958,0.24172,0.09898,1.37485,0.91622,3.33322e-05,3.33322e-05,0.0667012
2,26938.2,0.09299,1.30903,0.9041,0,0,0,0,0.10122,34545,0.91705,6.60055e-05,6.60055e-05,0.0334005
3,40255.1,0.08453,1.22338,0.88246,0,0,0,0,0.09863,10461.1,0.91104,9.80189e-05,9.80189e-05,9.91865e-05
4,53602.3,0.08053,1.16567,0.87299,0,0,0,0,0.10522,3653.07,0.92668,9.703e-05,9.703e-05,9.703e-05
5,66970.8,0.07813,1.12849,0.86745,0,7e-05,0,0,0.10381,914.446,0.92277,9.604e-05,9.604e-05,9.604e-05
6,80269.4,0.07694,1.02772,0.86463,0.01329,0.92134,0.01269,0.00607,0.10414,222.532,0.92366,9.505e-05,9.505e-05,9.505e-05
7,93675.2,0.07398,0.88695,0.85885,0.01415,0.94401,0.01383,0.00694,0.10432,79.8893,0.92342,9.406e-05,9.406e-05,9.406e-05
8,107029,0.07116,0.81724,0.85214,0.05023,0.90176,0.04795,0.02301,0.10425,13.786,0.9216,9.307e-05,9.307e-05,9.307e-05
9,120356,0.06884,0.77194,0.84641,0.24542,0.89669,0.23729,0.11523,0.10366,2.38655,0.91835,9.208e-05,9.208e-05,9.208e-05
10,133742,0.06728,0.74136,0.84283,0.61965,0.85057,0.72133,0.27065,0.1034,1.28618,0.91591,9.109e-05,9.109e-05,9.109e-05
11,147143,0.06668,0.71693,0.84201,0.67696,0.85624,0.80003,0.3431,0.10079,1.15185,0.90703,9.01e-05,9.01e-05,9.01e-05
12,160452,0.06578,0.70265,0.84063,0.78224,0.86622,0.87873,0.42828,0.09921,1.05584,0.9004,8.911e-05,8.911e-05,8.911e-05
13,173847,0.06483,0.68614,0.83783,0.88514,0.88162,0.92499,0.50196,0.09359,0.93821,0.88535,8.812e-05,8.812e-05,8.812e-05
14,187224,0.06435,0.67223,0.83732,0.92965,0.90013,0.94275,0.5288,0.09079,0.84881,0.8783,8.713e-05,8.713e-05,8.713e-05
15,200508,0.06385,0.66284,0.83584,0.94519,0.91703,0.95255,0.54877,0.08724,0.78127,0.86994,8.614e-05,8.614e-05,8.614e-05
16,213212,0.06357,0.65633,0.83516,0.95475,0.92588,0.95826,0.56557,0.08434,0.73602,0.86333,8.515e-05,8.515e-05,8.515e-05
17,225264,0.06263,0.64559,0.83352,0.96306,0.93177,0.96274,0.57326,0.08281,0.7025,0.85961,8.416e-05,8.416e-05,8.416e-05
18,237324,0.06266,0.6361,0.83329,0.96792,0.93674,0.96537,0.57854,0.08199,0.6793,0.85732,8.317e-05,8.317e-05,8.317e-05
19,249381,0.062,0.62705,0.83245,0.97091,0.94046,0.96748,0.57366,0.08303,0.66636,0.85911,8.218e-05,8.218e-05,8.218e-05
20,261434,0.06168,0.62049,0.83122,0.97343,0.94321,0.96898,0.57784,0.08227,0.64974,0.85695,8.119e-05,8.119e-05,8.119e-05
21,273471,0.06147,0.61439,0.8303,0.97262,0.94579,0.97017,0.57111,0.08344,0.64437,0.85939,8.02e-05,8.02e-05,8.02e-05
22,285536,0.06082,0.60636,0.82899,0.97447,0.94745,0.97143,0.56848,0.0839,0.63782,0.86038,7.921e-05,7.921e-05,7.921e-05
23,297671,0.06078,0.60295,0.82909,0.97612,0.94795,0.9723,0.56892,0.08383,0.63081,0.86013,7.822e-05,7.822e-05,7.822e-05
24,309809,0.06052,0.59705,0.82892,0.97662,0.94866,0.97308,0.56731,0.08428,0.62696,0.86113,7.723e-05,7.723e-05,7.723e-05
25,321862,0.06014,0.59333,0.82754,0.9774,0.94918,0.97362,0.56599,0.08459,0.62345,0.86202,7.624e-05,7.624e-05,7.624e-05
26,333882,0.06013,0.5902,0.82746,0.97865,0.9501,0.9741,0.55641,0.08631,0.62586,0.86617,7.525e-05,7.525e-05,7.525e-05
