epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1067.17,0.25163,1.24497,1.40973,0.95577,0.90797,0.95414,0.45042,0.23383,0.92674,1.36364,3.33263e-05,3.33263e-05,0.066707
2,3054,0.19298,0.88043,1.20302,0.95653,0.93041,0.95363,0.42901,0.2476,0.85287,1.41722,6.59997e-05,6.59997e-05,0.0334064
3,5260.19,0.18128,0.77038,1.15747,0.96614,0.94702,0.96439,0.48478,0.21989,0.71136,1.30428,9.80131e-05,9.80131e-05,0.000105031
4,7461.47,0.17596,0.71359,1.13796,0.97215,0.95646,0.96907,0.48438,0.2246,0.6872,1.31818,9.703e-05,9.703e-05,9.703e-05
5,9646.66,0.17153,0.67781,1.12266,0.96839,0.94763,0.95046,0.45403,0.2372,0.66963,1.38083,9.604e-05,9.604e-05,9.604e-05
6,11836,0.1693,0.65025,1.11479,0.96666,0.9438,0.95197,0.46922,0.22524,0.64975,1.3349,9.505e-05,9.505e-05,9.505e-05
7,13878.5,0.16827,0.62855,1.1112,0.96594,0.94353,0.95203,0.43186,0.2441,0.66284,1.41246,9.406e-05,9.406e-05,9.406e-05
8,15708.3,0.16672,0.61324,1.10499,0.95398,0.95004,0.95193,0.46825,0.22991,0.61876,1.35244,9.307e-05,9.307e-05,9.307e-05
9,17910.1,0.16596,0.60102,1.10281,0.9449,0.94478,0.9458,0.46991,0.23449,0.63245,1.3742,9.208e-05,9.208e-05,9.208e-05
10,20108.4,0.16431,0.59032,1.09737,0.95574,0.94774,0.95041,0.46425,0.23433,0.61935,1.37527,9.109e-05,9.109e-05,9.109e-05
11,22308.6,0.16302,0.58434,1.0936,0.94903,0.94843,0.95163,0.46283,0.23604,0.60684,1.38505,9.01e-05,9.01e-05,9.01e-05
12,24507.4,0.16326,0.57413,1.09364,0.95393,0.94451,0.9482,0.46099,0.23283,0.6038,1.37257,8.911e-05,8.911e-05,8.911e-05
13,26707,0.16211,0.56493,1.09004,0.94945,0.93669,0.94016,0.46255,0.23486,0.60629,1.38195,8.812e-05,8.812e-05,8.812e-05
14,28385.4,0.16176,0.5612,1.08898,0.95026,0.9454,0.94707,0.46605,0.23537,0.5902,1.38598,8.713e-05,8.713e-05,8.713e-05
15,30586.1,0.16072,0.55564,1.08534,0.94755,0.94442,0.94882,0.46332,0.23656,0.5948,1.39227,8.614e-05,8.614e-05,8.614e-05
16,32787.2,0.16023,0.54939,1.08394,0.95157,0.94998,0.95411,0.47345,0.23374,0.58288,1.37821,8.515e-05,8.515e-05,8.515e-05
17,34978.5,0.16012,0.54211,1.08316,0.95154,0.94598,0.95353,0.4754,0.23246,0.57401,1.37033,8.416e-05,8.416e-05,8.416e-05
18,37147.5,0.15997,0.54,1.08339,0.95287,0.94691,0.95305,0.47718,0.23214,0.57476,1.36845,8.317e-05,8.317e-05,8.317e-05
19,39344.7,0.1596,0.53579,1.08096,0.95351,0.95138,0.95479,0.47459,0.23207,0.57338,1.37206,8.218e-05,8.218e-05,8.218e-05
20,41164.3,0.15837,0.53082,1.07802,0.95148,0.94832,0.95455,0.47545,0.23241,0.56752,1.37575,8.119e-05,8.119e-05,8.119e-05
21,43213.9,0.15819,0.52736,1.07741,0.95108,0.95325,0.95716,0.47431,0.23287,0.57315,1.37642,8.02e-05,8.02e-05,8.02e-05
22,45407.2,0.15824,0.52539,1.07732,0.95662,0.95218,0.95757,0.47712,0.23189,0.56086,1.37566,7.921e-05,7.921e-05,7.921e-05
23,47591.6,0.15777,0.52173,1.07602,0.95559,0.95019,0.95651,0.47437,0.23397,0.56276,1.38282,7.822e-05,7.822e-05,7.822e-05
24,49767.4,0.15771,0.51712,1.07521,0.94894,0.94727,0.95217,0.46973,0.23358,0.56546,1.38861,7.723e-05,7.723e-05,7.723e-05
25,51964.9,0.15618,0.51418,1.07061,0.9541,0.94944,0.95568,0.47384,0.23267,0.56378,1.38299,7.624e-05,7.624e-05,7.624e-05
26,53986.5,0.15718,0.5127,1.07393,0.95055,0.94828,0.9548,0.46869,0.23461,0.56357,1.39419,7.525e-05,7.525e-05,7.525e-05
27,55819,0.15491,0.50993,1.06705,0.95311,0.94845,0.95504,0.47555,0.23223,0.55775,1.38394,7.426e-05,7.426e-05,7.426e-05
28,57993.1,0.15586,0.50684,1.07004,0.95276,0.94701,0.95323,0.47134,0.23504,0.55912,1.39446,7.327e-05,7.327e-05,7.327e-05
29,60188.4,0.15574,0.50494,1.06979,0.95515,0.9512,0.95523,0.47686,0.23263,0.55503,1.38199,7.228e-05,7.228e-05,7.228e-05
30,62369.5,0.15525,0.50432,1.06689,0.95497,0.95191,0.95484,0.47453,0.23237,0.55064,1.38282,7.129e-05,7.129e-05,7.129e-05
31,64564.8,0.15544,0.50101,1.0683,0.95388,0.95022,0.95313,0.47511,0.23147,0.54921,1.38089,7.03e-05,7.03e-05,7.03e-05
