epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.945,1.40818,5.85228,4.04339,0,0,0,0,1.22147,6.12399,3.34158,3.28125e-05,3.28125e-05,0.0672203
2,229.008,1.00984,3.01849,3.45263,0.27119,0.14159,0.04951,0.01293,0.96076,4.19196,3.17109,6.58184e-05,6.58184e-05,0.03392
3,350.764,0.94544,2.58057,3.15389,0.24621,0.23009,0.14622,0.03132,0.93517,2.18415,3.09707,9.84943e-05,9.84943e-05,0.000619328
4,469.094,0.97953,2.28074,3.13855,0.41927,0.22124,0.17234,0.0441,0.90241,1.91823,3.04627,9.8515e-05,9.8515e-05,9.8515e-05
5,586.036,0.94529,2.38775,3.0973,0.34872,0.30973,0.17901,0.04301,0.86514,1.87682,2.99483,9.802e-05,9.802e-05,9.802e-05
6,698.836,0.89098,2.23151,2.98214,0.34641,0.36117,0.23035,0.05622,0.8149,1.76947,2.9768,9.7525e-05,9.7525e-05,9.7525e-05
7,807.421,0.80983,2.03516,2.97271,0.41569,0.37145,0.27642,0.07036,0.78672,1.6977,2.93569,9.703e-05,9.703e-05,9.703e-05
8,920.181,0.77516,1.96025,2.87555,0.4637,0.40708,0.30439,0.08259,0.78644,1.6875,2.89537,9.6535e-05,9.6535e-05,9.6535e-05
9,1042.06,0.86293,2.01235,2.99363,0.52571,0.36283,0.29855,0.07848,0.76308,1.62138,2.84914,9.604e-05,9.604e-05,9.604e-05
10,1163.48,0.76671,1.91351,2.79279,0.49436,0.52212,0.38486,0.10538,0.6956,1.59149,2.79292,9.5545e-05,9.5545e-05,9.5545e-05
11,1278.18,0.6894,1.82823,2.73032,0.60522,0.59697,0.52895,0.1499,0.64057,1.54519,2.76913,9.505e-05,9.505e-05,9.505e-05
12,1396.27,0.63929,1.78512,2.64573,0.69323,0.51327,0.5377,0.16449,0.64054,1.49104,2.64584,9.4555e-05,9.4555e-05,9.4555e-05
13,1506.1,0.65508,1.65593,2.60799,0.66442,0.57823,0.58278,0.18843,0.5892,1.45011,2.57564,9.406e-05,9.406e-05,9.406e-05
