epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,273.961,1.07811,4.72954,3.2137,0.24041,0.10178,0.07551,0.01428,0.68589,3.52716,2.55122,3.31658e-05,3.31658e-05,0.0668673
2,595.619,0.8087,2.58683,2.71288,0.37198,0.60587,0.38999,0.09195,0.58499,2.16767,2.34348,6.617e-05,6.617e-05,0.033567
3,855.132,0.7138,2.12067,2.55351,0.52893,0.70992,0.57835,0.18706,0.5241,1.63802,2.21253,9.88442e-05,9.88442e-05,0.000266348
4,1103.39,0.63006,1.87323,2.42914,0.71362,0.7201,0.75495,0.30999,0.4491,1.40689,2.1118,9.8515e-05,9.8515e-05,9.8515e-05
5,1338.75,0.57785,1.6964,2.32324,0.78372,0.77454,0.8161,0.3455,0.42016,1.39993,2.04497,9.802e-05,9.802e-05,9.802e-05
6,1587.71,0.51076,1.61834,2.2411,0.77687,0.79734,0.83626,0.36848,0.38674,1.3816,1.973,9.7525e-05,9.7525e-05,9.7525e-05
7,1820.62,0.47256,1.58929,2.13219,0.82254,0.83715,0.86955,0.41493,0.36561,1.23038,1.86181,9.703e-05,9.703e-05,9.703e-05
8,2072.5,0.45992,1.53709,2.0882,0.84359,0.85088,0.88719,0.44007,0.34838,1.25901,1.83988,9.6535e-05,9.6535e-05,9.6535e-05
9,2303.75,0.41377,1.41939,1.99338,0.88135,0.86945,0.90307,0.4647,0.32369,1.14178,1.76614,9.604e-05,9.604e-05,9.604e-05
10,2555,0.39032,1.42309,1.9016,0.87369,0.88,0.8995,0.47402,0.31625,1.18233,1.73031,9.5545e-05,9.5545e-05,9.5545e-05
11,2785.76,0.36541,1.33723,1.84695,0.89987,0.869,0.91482,0.485,0.29798,1.15509,1.66368,9.505e-05,9.505e-05,9.505e-05
12,3037.16,0.35734,1.30885,1.79752,0.85333,0.85867,0.89153,0.46994,0.28905,1.20132,1.61588,9.4555e-05,9.4555e-05,9.4555e-05
13,3268.09,0.33482,1.3434,1.72319,0.8621,0.87493,0.90128,0.47969,0.28655,1.12426,1.60205,9.406e-05,9.406e-05,9.406e-05
14,3519.23,0.33923,1.27907,1.74641,0.90157,0.88295,0.91313,0.49601,0.27557,1.10195,1.57048,9.3565e-05,9.3565e-05,9.3565e-05
15,3749.84,0.32219,1.24527,1.68849,0.86365,0.88647,0.91689,0.51395,0.26179,1.11359,1.54121,9.307e-05,9.307e-05,9.307e-05
16,4003.02,0.31599,1.23349,1.66646,0.85071,0.89822,0.88615,0.48826,0.27188,1.16949,1.51987,9.2575e-05,9.2575e-05,9.2575e-05
17,4274.62,0.3022,1.21204,1.60193,0.92919,0.90151,0.9233,0.52209,0.25497,1.0725,1.4638,9.208e-05,9.208e-05,9.208e-05
18,4648.71,0.28122,1.18645,1.54282,0.90466,0.9084,0.9258,0.53368,0.25041,1.04761,1.44809,9.1585e-05,9.1585e-05,9.1585e-05
19,4995.81,0.28267,1.12776,1.5447,0.90306,0.90071,0.92797,0.56784,0.23752,1.02899,1.40552,9.109e-05,9.109e-05,9.109e-05
20,5367.66,0.28342,1.17048,1.53941,0.92386,0.91349,0.93147,0.55819,0.23193,0.99582,1.37474,9.0595e-05,9.0595e-05,9.0595e-05
21,5715.68,0.27057,1.15278,1.49897,0.88733,0.9084,0.92345,0.55397,0.23076,1.01203,1.3761,9.01e-05,9.01e-05,9.01e-05
22,6084.92,0.26115,1.11818,1.47021,0.91781,0.9084,0.93811,0.5973,0.22153,0.94779,1.34167,8.9605e-05,8.9605e-05,8.9605e-05
23,6436.2,0.25744,1.08229,1.45993,0.92444,0.90282,0.92823,0.56104,0.22541,0.97029,1.35198,8.911e-05,8.911e-05,8.911e-05
24,6801.96,0.26221,1.10911,1.46999,0.93261,0.89822,0.93927,0.59187,0.21632,0.95243,1.31631,8.8615e-05,8.8615e-05,8.8615e-05
25,7155.14,0.25221,1.08984,1.42755,0.92081,0.92366,0.93976,0.59076,0.21839,0.9467,1.31135,8.812e-05,8.812e-05,8.812e-05
26,7516.88,0.25489,1.07531,1.42953,0.95389,0.91603,0.9493,0.58769,0.21955,0.90572,1.3213,8.7625e-05,8.7625e-05,8.7625e-05
27,7874.52,0.25282,1.08205,1.42589,0.94013,0.91858,0.93936,0.58268,0.20958,0.941,1.29565,8.713e-05,8.713e-05,8.713e-05
28,8235.15,0.24881,1.06489,1.41385,0.92509,0.91134,0.94143,0.61762,0.2033,0.90266,1.26819,8.6635e-05,8.6635e-05,8.6635e-05
29,8596.86,0.24999,1.06789,1.41934,0.9453,0.92875,0.94434,0.61286,0.20465,0.90361,1.274,8.614e-05,8.614e-05,8.614e-05
30,8955.17,0.23982,1.05542,1.38308,0.94238,0.92875,0.94325,0.62639,0.2003,0.8676,1.26442,8.5645e-05,8.5645e-05,8.5645e-05
31,9318.69,0.2353,1.03586,1.37604,0.92057,0.91416,0.94267,0.61999,0.19566,0.86996,1.24783,8.515e-05,8.515e-05,8.515e-05
32,9674.66,0.23368,1.04146,1.36757,0.94906,0.90069,0.94649,0.64848,0.18927,0.84637,1.23121,8.4655e-05,8.4655e-05,8.4655e-05
33,10041.1,0.24408,1.04437,1.39971,0.93363,0.90331,0.948,0.63543,0.19674,0.87279,1.24514,8.416e-05,8.416e-05,8.416e-05
34,10392.6,0.23737,0.99954,1.37002,0.91908,0.92366,0.94155,0.63396,0.19717,0.85588,1.23707,8.3665e-05,8.3665e-05,8.3665e-05
35,10758.6,0.23095,1.01905,1.35106,0.92249,0.92621,0.94775,0.64152,0.19402,0.85644,1.22399,8.317e-05,8.317e-05,8.317e-05
36,11107.6,0.22254,0.98411,1.32622,0.93941,0.90739,0.948,0.65041,0.18639,0.84083,1.20472,8.2675e-05,8.2675e-05,8.2675e-05
37,11479.9,0.24334,1.02946,1.38346,0.93077,0.90076,0.94729,0.63309,0.1894,0.83891,1.21649,8.218e-05,8.218e-05,8.218e-05
38,11826.3,0.2206,0.98239,1.31438,0.92404,0.9313,0.94921,0.64719,0.18737,0.8439,1.20403,8.1685e-05,8.1685e-05,8.1685e-05
39,12197.8,0.22207,0.95696,1.31482,0.93591,0.91858,0.9485,0.65271,0.18297,0.83867,1.19178,8.119e-05,8.119e-05,8.119e-05
40,12543.9,0.21874,1.00089,1.31593,0.92192,0.90331,0.94462,0.6444,0.18176,0.84543,1.18724,8.0695e-05,8.0695e-05,8.0695e-05
41,12916.2,0.22572,1.00035,1.32684,0.91748,0.94402,0.94909,0.65972,0.17919,0.80232,1.17613,8.02e-05,8.02e-05,8.02e-05
42,13261,0.20946,0.94394,1.27444,0.92803,0.91868,0.94667,0.64349,0.18308,0.84931,1.18284,7.9705e-05,7.9705e-05,7.9705e-05
43,13630.5,0.22969,1.00565,1.34763,0.89717,0.91026,0.93847,0.63085,0.18739,0.86429,1.20271,7.921e-05,7.921e-05,7.921e-05
44,13974.2,0.21764,0.96628,1.31316,0.91903,0.92419,0.94949,0.66367,0.18094,0.81383,1.18044,7.8715e-05,7.8715e-05,7.8715e-05
45,14345.5,0.22008,0.97582,1.30924,0.93123,0.93036,0.95333,0.63675,0.19109,0.82374,1.19952,7.822e-05,7.822e-05,7.822e-05
46,14691.1,0.2152,0.9621,1.2927,0.92764,0.90585,0.95206,0.64304,0.18568,0.81519,1.1852,7.7725e-05,7.7725e-05,7.7725e-05
47,15061.9,0.21436,0.94213,1.29229,0.92415,0.89822,0.95057,0.6506,0.18344,0.80622,1.17627,7.723e-05,7.723e-05,7.723e-05
